time,count_rate,counts,count_error,ultrasoft_count_rate,soft_count_rate,medium_count_rate,hard_count_rate,ultrasoft_counts,soft_counts,medium_counts,hard_counts,exposure,area
426077564.95735,0.02159246665359,2,0.0152681795933,0.0,0.0107962333268,0.0,0.0107962333268,0,1,0,1,92.6248970109,154.3125
426078064.07751,0.01217532467572,6,0.00497055548471,0.0,0.00405844155857,0.00405844155857,0.00405844155857,0,2,2,2,492.7999999838,154.3125
426078563.19767,0.00811688311715,4,0.00405844155857,0.0,0.00608766233786,0.0,0.00202922077929,0,3,0,1,492.7999999838,154.3125
426079062.31782997,0.01014610389644,5,0.00453747560384,0.0,0.00202922077929,0.00405844155857,0.00405844155857,0,1,2,2,492.7999999838,154.3125
426079561.43799,0.01217532467572,6,0.00497055548471,0.0,0.0,0.00811688311715,0.00405844155857,0,0,4,2,492.7999999838,154.3125
426080060.55815,0.01217532467572,6,0.00497055548471,0.00202922077929,0.00202922077929,0.00608766233786,0.00202922077929,1,1,3,1,492.7999999838,154.3125
426080559.67831,0.01014610389644,5,0.00453747560384,0.0,0.00405844155857,0.00202922077929,0.00405844155857,0,2,1,2,492.7999999838,154.3125
426081058.79846996,0.01217532467572,6,0.00497055548471,0.0,0.00202922077929,0.00811688311715,0.00202922077929,0,1,4,1,492.7999999838,154.3125
426081557.91863,0.02029220779287,10,0.00641695953789,0.0,0.00405844155857,0.00811688311715,0.00811688311715,0,2,4,4,492.7999999838,154.3125
426082057.03879,0.01420454545501,7,0.00536881353724,0.0,0.00608766233786,0.00405844155857,0.00405844155857,0,3,2,2,492.7999999838,154.3125
426082556.15895,0.01217532467572,6,0.00497055548471,0.0,0.00202922077929,0.00405844155857,0.00608766233786,0,1,2,3,492.7999999838,154.3125
426083055.27911,0.01014610389644,5,0.00453747560384,0.0,0.00608766233786,0.0,0.00405844155857,0,3,0,2,492.7999999838,154.3125
426083554.39927,0.01217532467572,6,0.00497055548471,0.0,0.00202922077929,0.0,0.01014610389644,0,1,0,5,492.7999999838,154.3125
426084053.51943,0.00405844155857,2,0.00286975154712,0.0,0.0,0.00202922077929,0.00202922077929,0,0,1,1,492.7999999838,154.3125
426084552.63958997,0.02435064935145,12,0.007029426979,0.0,0.00405844155857,0.01826298701359,0.00202922077929,0,2,9,1,492.7999999838,154.3125
426085051.75975,0.01217532467572,6,0.00497055548471,0.0,0.0,0.00811688311715,0.00405844155857,0,0,4,2,492.7999999838,154.3125
426085550.87991,0.0162337662343,8,0.00573950309423,0.0,0.00405844155857,0.00811688311715,0.00405844155857,0,2,4,2,492.7999999838,154.3125
426086050.00007,0.0162337662343,8,0.00573950309423,0.0,0.00405844155857,0.00608766233786,0.00608766233786,0,2,3,3,492.7999999838,154.3125
426086549.12022996,0.01014610389644,5,0.00453747560384,0.0,0.00608766233786,0.00202922077929,0.00202922077929,0,3,1,1,492.7999999838,154.3125
426087048.24039,0.01014610389644,5,0.00453747560384,0.0,0.00608766233786,0.00202922077929,0.00202922077929,0,3,1,1,492.7999999838,154.3125
426087547.36055,0.01014610389644,5,0.00453747560384,0.0,0.00405844155857,0.0,0.00608766233786,0,2,0,3,492.7999999838,154.3125
426088046.48070997,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41.3065209955,154.3125
